Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed,Distance,Gain,
5745406560,"Aug 5, 2021, 9:28:43 PM",Afternoon Run,Run,,1051,3.74,50.92307281,2.32392754
5755731563,"Aug 7, 2021, 10:31:07 PM",Glass shin vibes,Run,,2044,6.53,28.51270294,4.05755263
5761299583,"Aug 8, 2021, 10:22:08 PM",Glass shin easy run ft jon,Run,,1083,3.47,11.35441208,2.15615737
5766264333,"Aug 9, 2021, 9:59:03 PM",Glass shins: the trilogy,Run,,1511,5.03,20.7656765,3.12549613
5772248695,"Aug 10, 2021, 10:39:02 PM",Glass shins: A New Hope,Run,Can you have tetanus of the ankle?Â¿,1590,5.06,20.95896149,3.14413726
5788114044,"Aug 13, 2021, 10:40:09 PM",Evening Run,Run,,1289,4.5,3.854545355,2.7961695
5793799280,"Aug 14, 2021, 10:54:48 PM",Evening Run,Run,,3491,9.78,137.5199585,6.07700838
5804337371,"Aug 16, 2021, 10:44:15 PM",2 mile TT for old times sake,Run,"Not in my prime, but not awful ",788,3.32,34.55156708,2.06295172
5809840102,"Aug 17, 2021, 10:41:18 PM",Evening Run,Run,,1047,3.67,50.6199379,2.28043157
5824709542,"Aug 20, 2021, 5:26:16 PM",Morning Run,Run,,1505,4.98,14.1854248,3.09442758
5840705861,"Aug 22, 2021, 11:45:19 PM",Spartan Sprint Oahu,Run,,4560,6.27,,3.89599617
5858483508,"Aug 26, 2021, 8:29:32 PM",First run back on continent,Run,It's actually cooler in Hawaii I swear,1699,5.68,88.12746429,3.52938728
5864033421,"Aug 28, 2021, 1:58:38 AM",Night Run,Run,,929,3.21,60.56507874,1.99460091
5874699592,"Aug 29, 2021, 10:21:44 PM",Evening Run,Run,,1966,6.44,141.2144012,4.00162924
5879742526,"Aug 31, 2021, 12:07:45 AM",Evening Run,Run,,906,3.22,60.49166489,2.00081462
5890456989,"Sep 1, 2021, 9:19:39 PM",Afternoon Run,Run,1:18 PR,1621,5.63,87.43035889,3.49831873
5895892776,"Sep 2, 2021, 10:35:11 PM",Evening Run,Run,,849,3.22,60.53305435,2.00081462
5900885889,"Sep 3, 2021, 10:13:07 PM",Evening Run,Run,,2898,10.03,54.14777756,6.23235113
5917917250,"Sep 6, 2021, 10:09:00 PM",Evening Run,Run,,943,3.3,24.27575684,2.0505243
5923548350,"Sep 7, 2021, 9:44:24 PM",Afternoon Run,Run,,1372,5.02,41.50172043,3.11928242
5928096739,"Sep 8, 2021, 6:14:21 PM",Afternoon Run,Run,,101,0.46,15.28444481,0.28583066
5928205587,"Sep 8, 2021, 6:20:21 PM",Afternoon Run,Run,,448,1.64,16.79444504,1.01904844
5938031775,"Sep 10, 2021, 4:48:20 PM",Lunch Run,Run,,853,3.27,10.89999962,2.03188317
5944807269,"Sep 11, 2021, 9:27:21 PM",Afternoon Run,Run,,1004,3.67,51.4701004,2.28043157
5953808228,"Sep 13, 2021, 2:28:49 PM",Morning Run,Run,,858,3.22,42.15070724,2.00081462
5976154456,"Sep 17, 2021, 6:55:42 PM",Afternoon Run,Run,,1604,5.67,89.11151886,3.52317357
5983014686,"Sep 19, 2021, 3:05:10 AM",Night Run,Run,,416,1.6,30.26666641,0.9941936
5992009526,"Sep 20, 2021, 5:37:05 PM",Afternoon Run,Run,,1380,5.04,21.1246891,3.13170984
5998183749,"Sep 21, 2021, 9:25:23 PM",Afternoon Run,Run,"Watch gps buggin, 2.00 miles",833,3.12,24.18181801,1.93867752
6008814263,"Sep 23, 2021, 9:41:41 PM",Afternoon Run,Run,,3047,9.66,133.4553375,6.00244386
6013295138,"Sep 24, 2021, 9:18:39 PM",Afternoon Run,Run,,881,3.23,70.53422546,2.00702833
6030237529,"Sep 28, 2021, 12:53:43 AM",Evening Run,Run,,864,3.22,69.37807465,2.00081462
6035002816,"Sep 28, 2021, 10:05:18 PM",Evening Run,Run,,956,3.65,51.43991089,2.26800415
6044730924,"Sep 30, 2021, 9:41:35 PM",Washed up 5k PR maybe?,Run,"I hate my watch, started recording with my phone around a mile in when I noticed my watch said I was doing 11 second mile splits",1288,4.99,0,3.10064129
6049182574,"Oct 1, 2021, 10:01:11 PM",Evening Run,Run,,393,1.6,30.30555534,0.9941936
6068490410,"Oct 5, 2021, 5:58:08 PM",Afternoon Run,Run,,815,3.24,41.87341309,2.01324204
6074176820,"Oct 6, 2021, 8:26:06 PM",Afternoon Run,Run,,369,1.61,27.43214226,1.00040731
6079546307,"Oct 7, 2021, 10:50:08 PM",I messed up the gps part 19588493,Run,,1309,4.98,,3.09442758
6088898727,"Oct 9, 2021, 6:56:04 PM",Afternoon Run,Run,,805,3.27,10.8109808,2.03188317
6099409885,"Oct 11, 2021, 9:57:03 PM",Afternoon Run,Run,,811,3.27,67.30286407,2.03188317